,Sample,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Reset voltage
1171,Sample_6,90.0,8.0,0,1,2,-1.1
1172,Sample_6,90.0,8.0,0,1,2,-0.975
1173,Sample_6,90.0,8.0,0,1,2,-0.9
1174,Sample_6,90.0,8.0,0,1,2,-1.75
1175,Sample_6,90.0,8.0,0,1,2,-1.55
1176,Sample_6,90.0,8.0,0,1,2,-1.1
1177,Sample_6,90.0,8.0,0,1,2,-2.475
1178,Sample_6,90.0,8.0,0,1,2,-2.475
1179,Sample_6,90.0,8.0,0,1,2,-2.4
1180,Sample_6,90.0,8.0,0,1,2,-0.85
1181,Sample_6,90.0,8.0,0,1,2,-2.15
1182,Sample_6,90.0,8.0,0,1,2,-4.1
1183,Sample_6,90.0,8.0,0,1,2,-1.3
1184,Sample_6,90.0,8.0,0,1,2,-3.45
1185,Sample_6,90.0,8.0,0,1,2,-2.65
1186,Sample_6,90.0,8.0,0,1,2,-1.525
1187,Sample_6,90.0,8.0,0,1,2,-0.925
1188,Sample_6,90.0,8.0,0,1,2,-1.92
1189,Sample_6,90.0,8.0,0,1,2,-1.22
1190,Sample_6,90.0,8.0,0,1,2,-1.825
1191,Sample_6,90.0,8.0,0,1,2,-1.0
1192,Sample_6,90.0,8.0,0,1,2,-2.07
1193,Sample_6,90.0,8.0,0,1,2,-1.02
1194,Sample_6,90.0,8.0,0,1,2,-2.475
1195,Sample_6,90.0,8.0,0,1,2,-1.35
1196,Sample_6,90.0,8.0,0,1,2,-1.5
1197,Sample_6,90.0,8.0,0,1,2,-4.0
1198,Sample_6,90.0,8.0,0,1,2,-1.75
1199,Sample_6,90.0,8.0,0,1,2,-0.85
1200,Sample_6,90.0,8.0,0,1,2,-0.975
1201,Sample_6,90.0,8.0,0,1,2,-2.225
1202,Sample_6,90.0,8.0,0,1,2,-1.1
1203,Sample_6,90.0,8.0,0,1,2,-1.075
1204,Sample_6,90.0,8.0,0,1,2,-1.72
1205,Sample_6,90.0,8.0,0,1,2,-1.65
1206,Sample_6,90.0,8.0,0,1,2,-5.8
1207,Sample_6,90.0,8.0,0,1,2,-4.325
1208,Sample_6,90.0,8.0,0,1,2,-0.65
1209,Sample_6,90.0,8.0,0,1,2,-1.65
1210,Sample_6,90.0,8.0,0,1,2,-0.25
1211,Sample_6,90.0,8.0,0,1,2,-0.875
1212,Sample_6,90.0,8.0,0,1,2,-0.725
1213,Sample_6,90.0,8.0,0,1,2,-0.3
1214,Sample_6,90.0,8.0,0,1,2,-1.45
1215,Sample_6,90.0,8.0,0,1,2,-1.1
1216,Sample_6,90.0,8.0,0,1,2,-0.725
1217,Sample_6,90.0,8.0,0,1,2,-1.075
1218,Sample_6,90.0,8.0,0,1,2,-0.475
1219,Sample_6,90.0,8.0,0,1,2,-0.175
1220,Sample_6,90.0,8.0,0,1,2,-1.85
1221,Sample_6,90.0,8.0,0,1,2,-2.27
1222,Sample_6,90.0,8.0,0,1,2,-1.35
1223,Sample_6,90.0,8.0,0,1,2,-0.525
1224,Sample_6,90.0,8.0,0,1,2,-1.175
1225,Sample_6,90.0,8.0,0,1,2,-1.975
1226,Sample_6,90.0,8.0,0,1,2,-0.575
1227,Sample_6,90.0,8.0,0,1,2,-1.175
1228,Sample_6,90.0,8.0,0,1,2,-2.225
1332,Sample_9,90.0,8.0,1,0,2,-1.78
1333,Sample_9,90.0,8.0,1,0,2,-1.08
1334,Sample_9,90.0,8.0,1,0,2,-1.44
1335,Sample_9,90.0,8.0,1,0,2,-0.8
1336,Sample_9,90.0,8.0,1,0,2,-0.48
1337,Sample_9,90.0,8.0,1,0,2,-0.68
1338,Sample_9,90.0,8.0,1,0,2,-0.9
1339,Sample_9,90.0,8.0,1,0,2,-0.44
1340,Sample_9,90.0,8.0,1,0,2,-0.46
1341,Sample_9,90.0,8.0,1,0,2,-0.48
1342,Sample_9,90.0,8.0,1,0,2,-0.5
1343,Sample_9,90.0,8.0,1,0,2,-0.86
1344,Sample_9,90.0,8.0,1,0,2,-1.24
1345,Sample_9,90.0,8.0,1,0,2,-1.36
1346,Sample_9,90.0,8.0,1,0,2,-1.2
1347,Sample_9,90.0,8.0,1,0,2,-1.12
1348,Sample_9,90.0,8.0,1,0,2,-1.12
1351,Sample_9,90.0,8.0,1,0,2,-1.42
1352,Sample_9,90.0,8.0,1,0,2,-1.34
1353,Sample_9,90.0,8.0,1,0,2,-1.98
1354,Sample_9,90.0,8.0,1,0,2,-1.02
1355,Sample_9,90.0,8.0,1,0,2,-1.06
1356,Sample_9,90.0,8.0,1,0,2,-1.74
1357,Sample_9,90.0,8.0,1,0,2,-1.56
1358,Sample_9,90.0,8.0,1,0,2,-1.36
1359,Sample_9,90.0,8.0,1,0,2,-0.28
1361,Sample_9,90.0,8.0,1,0,2,-2.04
1362,Sample_9,90.0,8.0,1,0,2,-1.64
1363,Sample_9,90.0,8.0,1,0,2,-1.96
1364,Sample_9,90.0,8.0,1,0,2,-2.04
1365,Sample_9,90.0,8.0,1,0,2,-1.86
1366,Sample_9,90.0,8.0,1,0,2,-0.9
